random,por_zona,back_to_front,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen
375.54,305.93,257.76,173.55,166.7,185.41,161.57
310.45,285.34,239.77,171.89,165.51,182.88,164.93
352.5,260.43,266.94,167.52,165.63,183.14,164.93
339.35,272.33,226.16,168.16,167.22,185.24,161.72
376.91,261.55,245.04,170.29,166.12,181.26,161.0
422.96,296.37,262.42,169.42,169.17,184.6,161.06
367.26,319.71,267.01,170.72,164.56,183.19,164.58
341.21,285.89,259.15,171.03,166.91,182.21,163.98
363.59,296.38,283.05,170.69,164.29,180.54,164.87
420.82,311.28,267.66,171.5,164.56,184.85,162.65
407.31,254.33,246.97,172.19,166.37,182.81,161.1
413.76,288.9,264.7,169.69,163.53,186.18,163.73
457.68,271.46,279.43,167.34,165.37,180.72,161.06
373.63,319.06,243.17,170.26,164.82,184.57,161.1
397.23,251.37,246.33,171.79,166.01,185.6,162.11
290.37,289.43,256.52,169.61,164.23,180.09,162.9
381.11,298.74,250.0,170.78,163.99,187.7,164.6
380.2,286.21,239.52,172.15,164.0,182.07,163.95
410.08,306.37,266.77,171.35,165.05,186.29,161.18
311.7,273.46,274.78,169.22,161.92,183.74,163.74
398.56,280.72,262.81,170.86,165.43,185.59,165.09
274.18,317.03,263.11,170.58,164.86,182.99,163.29
405.43,327.78,261.42,171.95,165.43,183.22,159.93
343.38,277.78,273.92,172.57,161.94,184.97,163.26
356.98,285.6,251.11,172.18,164.15,183.95,163.47
404.13,309.6,268.45,169.34,165.77,179.44,164.09
381.85,266.99,263.27,171.4,162.69,182.15,162.02
342.21,283.62,244.94,174.11,166.87,179.84,159.44
368.38,323.81,269.53,170.43,164.86,182.51,164.26
392.95,356.19,258.46,170.17,167.94,185.52,165.13
335.12,279.31,246.1,170.0,165.73,183.95,165.26
348.75,303.13,261.94,175.29,165.04,184.89,163.27
386.86,286.38,274.03,173.76,164.31,183.69,164.78
478.37,289.59,263.03,172.69,165.36,186.18,162.36
345.04,286.76,266.97,167.87,166.2,183.65,163.15
328.31,318.34,264.18,167.06,164.95,187.4,162.14
414.96,282.08,255.13,169.12,166.82,182.99,163.88
394.72,277.2,263.29,170.46,164.1,184.94,164.21
394.16,303.98,241.86,175.74,168.02,183.84,162.96
355.82,313.61,255.06,172.88,168.5,183.92,162.87
297.62,300.57,252.09,167.31,166.57,179.61,161.57
420.2,261.13,254.61,172.84,163.84,186.95,162.24
330.28,281.54,268.79,167.71,162.66,180.57,162.33
337.57,281.67,263.7,169.14,167.41,181.93,164.31
